No,Musteri,Tarih,Durum,Konu,Musteri Mesaji (Ozet),Personel Cevabi,Cevaplanmis Mi,Kullanilmasi Gereken Hazir Cevap,Degerlendirme
1,ekinsuyildiz,2026-03-30,open,Belirsiz,Merhaba + gorsel gonderdi,-,HAYIR,Gorsele gore: Fiyat Sorgusu veya Beden Sorgusu sablonu,Gorsel incelenip ilgili sablon gonderilmeli
2,oozlemdundar,2026-03-30,open,Siparis Takibi,Siparisimin durumu hakkinda bilgi almak istiyorum,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),ACIL - Siparis numarasi istenip bilgi verilmeli
3,_kevser_cankaya_,2026-03-30,open,Siparis Takibi,Gecen hafta siparis ettim henuz kargoya verilmedi. Dogrulandi yaziyor ne zaman verilir?,-,HAYIR,Pre-Order Sureci sablonu,ACIL - Preorder sureci aciklanmali
4,keratin.school,2026-03-30,open,Fiyat Sorgusu,Gonderi paylasip fiyat bilgisi alabilir miyim dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
5,mtlsvnc,2026-03-30,open,Stok Sorgusu,Gorsel gondererek stok guncellemesi ne zaman yapilacak diye sordu,-,HAYIR,Stok Yenileniyor sablonu,Stok durumu hakkinda bilgi verilmeli
6,funda_salgin,2026-03-30,open,Urun Bilgisi,Gonderi paylasip takimin rengi ne acaba diye sordu,-,HAYIR,Fiyat Sorgusu sablonu + renk bilgisi ekle,Renk bilgisi verilmeli
7,sena.dmr.byrktr,2026-03-30,open,Beden Bilgisi,Reel paylasip mankenin uzerindeki hangi beden diye sordu,-,HAYIR,Beden Sorgusu sablonu,Manken beden bilgisi verilmeli
8,canangokr2,2026-03-30,open,Stok Sorgusu,Koleksiyonlarin XS beden yok mu,-,HAYIR,Stok Yenileniyor sablonu,Beden secenekleri hakkinda bilgi verilmeli
9,edaegelinew,2026-03-30,open,Fiziksel Magaza,Istanbul'da dukkaniniz var mi,-,HAYIR,Fiziksel Magaza sablonu,Showroom bilgisi verilmeli
10,tugccekaya,2026-03-30,open,Siparis Takibi,Numaramla uyelik olusturmadan siparis verdim nasil takip edebilirim,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),Siparis takip yontemi aciklanmali
11,firdes.kardes16,2026-03-30,open,Fiyat Sorgusu,Hikaye yanitlayarak fiyati nedir dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
12,ozgectb,2026-03-29,open,Siparis Takibi,Siparisimle ilgili hicbir mail gelmiyor + gorseller,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),ACIL - Siparis kontrolu yapilmali
13,firdevs_asci,2026-03-29,open,Siparis Vermek,Gorsel gonderip siparis vermek istiyorum dedi,-,HAYIR,Fiyat Sorgusu sablonu (siteye yonlendir),Siteye yonlendirilmeli
14,bernayeniyolsimsek,2026-03-29,open,Siparis Takibi,19 Mart'ta urun aldim bilgi gelmedi kargoya verildimi + gorseller,-,HAYIR,Pre-Order Sureci sablonu + ilgili ekibe ilet,ACIL - 11 gun gecmis bilgi verilmeli
15,poyraz_rahime,2026-03-29,open,Stok Sorgusu,Urunler guncellenecek mi + gorsel,-,HAYIR,Stok Yenileniyor sablonu,Stok durumu bilgisi verilmeli
16,zhr38118,2026-03-29,open,Fiyat Sorgusu,Reel paylasip fiyatini ogrenebilir miyim dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
17,semasipahiogluu,2026-03-29,open,Kumas Bilgisi,Ekru kimono set kumas cinsini ogrenebilir miyim,-,HAYIR,Kumas Bilgisi sablonu,Kumas bilgisi verilmeli
18,hikayekarmasik,2026-03-29,open,Fiyat Sorgusu,Tisort alt ve hirka ne kadar,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
19,egebasogluu,2026-03-29,open,Urun Arama,Sari renk mini elbise ve uzun ust ariyorum bulamiyorum yardimci olun,-,HAYIR,Fiyat Sorgusu sablonu + urunu bulmasi icin detayli yardim,ONEMLI - Sitede urunu bulup link gonder
20,busteekkk,2026-03-29,open,Fiyat Sorgusu,Takim fiyati,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
21,tevfik_ic_giyim_sadiye,2026-03-29,open,Toptan Satis,Toptan satisiniz var mi,-,HAYIR,Toptan Satis Talebi sablonu (info@),Toptan satis bilgisi verilmeli
22,daily_life_in_istanbul_,2026-03-29,open,Urun Bilgisi,Icerigi nedir,-,HAYIR,Kumas Bilgisi sablonu,Kumas icerigi verilmeli
23,zelalsengonul,2026-03-28,open,Siparis Takibi,Siparisimi kontrol eder misiniz - 7925 - bebe mavisi alt ust,Siparis numarasi istendi,EVET,Pre-Order Sureci sablonu (no geldi kontrol et),IYI - Dogru yaklasim siparis no istenmis
24,amelmouna__,2026-03-29,open,Genel,Hikaye yanitladi: This one is 100,-,HAYIR,Fiyat Sorgusu sablonu (tesekkur + siteye yonlendir),Tesekkur et + siteye yonlendir
25,tmariiion,2026-03-29,open,Teslimat Suresi,Web sitesinde 1-5 gun yaziyor Istanbul'a ne kadar,-,HAYIR,Pre-Order Sureci sablonu,Preorder sureci aciklanmali (7-21 gun)
26,filizerdiluk,2026-03-23,open,Fiyat Sorgusu,Birden fazla kez fiyat sordu,"Fiyat Sorgusu sablonu 3 kez gonderildi!",EVET,Fiyat Sorgusu sablonu (AMA 2. kez gonderme! Detayli yardim sun),KOTU - Ayni sablon 3 kez tekrarlandi
27,selinbagiskarakus,2026-03-29,open,Beden Bilgisi,Hamileyim kaliplar nasil ona gore beden alacagim,-,HAYIR,Beden Sorgusu sablonu + hamile icin bir ust beden onerisi,ONEMLI - Hamile musteriye ozel beden onerisi verilmeli
28,flyyzc3,2026-03-29,open,Iade/Degisim,Ust ve alt icin beden degisimi yapmak istiyorum,-,HAYIR,Iade Mesaji sablonu (degisim yok iade var),Degisim yok iade var bilgisi verilmeli
29,di_diana_sher,2026-03-29,open,Fiziksel Magaza,How is it possible to try it on before buying?,-,HAYIR,Yabanci Dil sablonu (Ingilizce),Ingilizce cevap verilmeli
30,passiondance.b,2026-03-29,open,Urun Bilgisi,Urunler disari giyim mi pijama takimi mi,-,HAYIR,Kumas Bilgisi sablonu + loungewear/ev giyim konsepti acikla,Loungewear/ev giyim konsepti aciklanmali
31,elvanozel07,2026-03-29,open,Siparis Takibi,Gecen hafta sali satin aldim teslim tarihi hakkinda hic iletisim gelmedi,-,HAYIR,Pre-Order Sureci sablonu (once siparis no iste),ACIL - Preorder aciklamasi + siparis no istenmeli
32,nnisayzit,2026-03-29,open,Site Sorunu,Takim olarak sepete eklemek istiyorum ama olmuyor neden + gorsel,-,HAYIR,Fiyat Sorgusu sablonu + parcalar ayri satiliyor bilgisi,ONEMLI - Parcalar ayri satiliyor bilgisi verilmeli
33,brk.miracc,2026-03-29,open,Kumas Bilgisi,Likrali midir kumasi nedir,-,HAYIR,Kumas Bilgisi sablonu,Kumas bilgisi verilmeli
34,yarenn_ali_arslan,2026-03-29,open,Fiyat Sorgusu,Hikaye yanitlayarak fiyat dedi,-,HAYIR,Fiyat Sorgusu sablonu,Siteye yonlendirilmeli
35,basakcetinkaptan,2026-03-29,open,Teslimat Suresi,21 gun cok uzun sureyi kisaltabilir misiniz hamile arkadasima hediye,-,HAYIR,Pre-Order Sureci sablonu + empatiyle ozur dile,ONEMLI - Empatiyle yaklasip sure kisaltma imkani yok
36,avia_pasha,2026-03-29,open,Fiyat Sorgusu,Gorsel gondererek fiyat sordu,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon uygulanmis
37,zeynep_oytun,2026-03-29,open,Kumas Bilgisi,Kumas cinsi nedir + fiyat sikayeti (cok fiyatli seri uretim var neden),"Kumas bilgisi + fiyat gerekceleri aciklandi",EVET,Kumas Bilgisi sablonu + Fiyat Sikayeti sablonu,IYI - Detayli ve ikna edici cevap
38,ss.selddaa,2026-03-28,open,Fiyat Sorgusu,Gorsel + uclu fiyat nedir,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon
39,kocivayasam,2026-03-28,open,Isbirligi/PR,Pilates egitmeni icerik uretmek istiyor,Isbirligi/PR sablonu,EVET,Isbirligi/PR Talebi sablonu (pr@),IYI - Dogru sablon
40,aligamzeleyla,2026-03-28,open,Isbirligi/PR,Is birligi dusunur musunuz,Isbirligi/PR sablonu,EVET,Isbirligi/PR Talebi sablonu (pr@),IYI - Dogru sablon
41,behiyergenc,2026-03-28,open,Fiyat Sorgusu,Gonderi paylasip fiyat dedi,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon
42,karalyeliz,2026-03-28,open,Iade/Degisim,Beden uymaz ise degisimde sorun yasiyormuyuz,Degisim yok iade var bilgisi,EVET,Iade Mesaji sablonu,OK - Dogru bilgi ama empati eksik
43,ayladincer0134,2026-03-28,open,Genel,Selam,Merhaba nasil yardimci olabilirim,EVET,Merhaba nasil yardimci olabilirim?,IYI - Dogru acilis
44,seymaasln4,2026-03-28,open,Fiyat Sorgusu,Gonderi paylasip fiyat dedi,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon
45,rumossunuuzz,2026-03-28,open,Fiyat Sorgusu,Hikaye yanitlayarak fiyat nedir dedi,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon
46,zyibar,2026-03-28,open,Fiziksel Magaza,Satis magazaniz var mi,Fiziksel Magaza sablonu,EVET,Fiziksel Magaza sablonu,IYI - Dogru ve detayli cevap
47,ezginacar,2026-03-28,open,Fiyat Sikayeti,Dogal pamuk yazip %95 viscose pijamaya 3 bin tl istemek...,Kumas farki aciklandi,EVET,Fiyat Sikayeti sablonu + Kumas Bilgisi sablonu,ORTA - Cevap dogru ama biraz savunmaci
48,azzmlh,2026-03-29,open,Beden+Siparis,6 mesaj: beden gorunmuyor siyah/gri istiyorum 44 bedenim hangi uygun + DM'den siparis aliyormusunuz,"Sadece Merhaba dendi sonra CEVAPSIZ",HAYIR,Beden Sorgusu sablonu + DM Siparis sablonu (siteye yonlendir),KOTU - 6 mesaj cevaplanmamis ciddi satis kaybi
49,tati_grishina,2026-03-28,open,Fiyat Sorgusu,Reel paylasip takim fiyati alabilir miyim,Fiyat Sorgusu sablonu,EVET,Fiyat Sorgusu sablonu,OK - Standart sablon
50,nazlinurbicer,2026-03-29,open,Fiyat Sikayeti,Bu ne pahalik lutfen kampanya yapmalisiniz,Kampanya icin siteye yonlendirildi,EVET,Fiyat Sikayeti sablonu,OK - Kisa ama uygun cevap
51,simayindere,2026-03-29,open,Iade/Degisim,"Renk degisimi istedi 3 kez farkli sekilde sordu","Degisim yok iade var dendi son mesaj CEVAPLANMADI",KISMI,Iade Mesaji sablonu + iade+yeni siparis cozumu sun,KOTU - Proaktif olunmali
52,elizenvertopaloglu,2026-03-29,open,DM Siparis,Buradan siparis alabiliyormusunuz,Web sitesine yonlendirildi,EVET,DM Siparis sablonu (siteye yonlendir),IYI - Dogru cevap
53,demet.gungor,2026-03-28,open,Siparis Takibi,Siparisim ulasmadi bilgi alabilir miyim + gorsel,Preorder sureci aciklandi,EVET,Pre-Order Sureci sablonu,IYI - Detayli ve dogru aciklama
54,zskarasac,2026-03-29,open,Stok Sorgusu,Lacivert pantolon yok kahverengi tisort bedeni bulamiyorum stoklar ne zaman yenilenir,Stok Yenileniyor sablonu,EVET,Stok Yenileniyor sablonu,ORTA - Cevap belirsiz musteri hayal kirikliginda
55,yagmurabik,2026-03-29,open,Iade Gecikmesi,Iade ettim geri odeme kartima yapilmamis kontrol edin,Ilgili ekiple paylasildigi soylendi,EVET,Iade Gecikmesi sablonu,OK - Dogru yaklasim ama takip sart
56,burcuela.bg,2026-03-29,open,Fiyat+Stok,Ekru kimono 3lu fiyati + sitede uclu takim bulamadim,"Fiyat sablonu + parcalar ayri satiliyor bilgisi",EVET,Fiyat Sorgusu sablonu + parcalar ayri satiliyor bilgisi,IYI - Ikinci mesaja dogru cevap verildi
57,isinkaraca,2026-03-29,open,DM Siparis,Cok detayli mesaj: kizim icin alacagim internetten hoslanmiyorum hesap no gonderin,-,HAYIR,DM Siparis sablonu + adim adim site kullanim yardimi teklif et,ONEMLI - Siteye yonlendirme + yardim teklif edilmeli
58,kubraknkc,2026-03-28,open,Urun Bilgisi,Gorseldekiler hangi renk,Murdum renk bilgisi + site linki,EVET,Fiyat Sorgusu sablonu + spesifik renk bilgisi,IYI - Spesifik cevap verilmis
59,caglasansak,2026-03-29,open,Stok Sorgusu,Kisa kimono ve kisa elbise takim sari/mavi renk gelir mi,Stok Yenileniyor sablonu,EVET,Stok Yenileniyor sablonu,ORTA - Belirsiz cevap
60,nur_unlu6,2026-03-28,open,Beden Bilgisi,Ustler dar mi rahat mi,"Kumas + beden bilgisi verildi musteri memnun",EVET,Kumas Bilgisi sablonu + Beden Sorgusu sablonu,IYI - Musteri memnun ayrildi
